2017-04-24 17:33:19,311 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Arguments:   samples/deploy_war/example_war.properties
2017-04-24 17:33:20,140 INFO  [main] com.sap.jpaas.infrastructure.console.PropertyFileProvider: Loaded properties file [samples/deploy_war/example_war.properties]
2017-04-24 17:33:20,145 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Starting execution of command [deploy]
2017-04-24 17:33:20,232 INFO  [pool-2-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: No SDK status file for your configuration was found. A version validity check will be performed.
2017-04-24 17:33:20,232 INFO  [pool-2-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: Currently running SDK version validity check for user SDK version: 1.125.24.2, landscape: hanatrial.ondemand.com and runtime: neo-java-web
2017-04-24 17:33:21,105 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: There is no tools page available on host hanatrial.ondemand.com. The default tools page on host hana.ondemand.com will be used instead.
2017-04-24 17:33:21,107 INFO  [pool-3-thread-1] com.sap.jpaas.infrastructure.console.PropertyFileProvider: Loaded properties file [C:\Users\ANA~1.COS\AppData\Local\Temp\sdkcheck.hana.ondemand.com.neo-java-web.1.125.24.2.tmp]
2017-04-24 17:33:21,110 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [deploy] init() finished for [964] ms
2017-04-24 17:33:51,140 INFO  [main] com.sap.core.deploy.client.cmd.helpers.DeployHelper: Deployment started for [s0017140910trial/helloworld/web] with descriptor [Descriptor{attributes={update_sites=samples/deploy_war/example.war, iu_version=0.0.0, runtimeId=neo-java-web, runtimeVersion=1, perm_storage_size=10, jpaas_services=["all"], elasticity.data={"minVmCount":1,"maxVmCount":1}, perm_storage_local_path=permanent_storage, perm_storage_mode=none}, services=null, containerType=3}]
2017-04-24 17:33:51,150 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Deploy started
2017-04-24 17:33:51,150 INFO  [main] com.sap.core.deploy.client.impl.DeployerImpl: Starting deployment of application [s0017140910trial/helloworld]
2017-04-24 17:33:51,524 INFO  [main] com.sap.core.deploy.client.publicrest.impl.DeployClient: Deploy with delta option [false]
2017-04-24 17:33:51,527 INFO  [main] com.sap.core.deploy.client.publicrest.impl.BasicClient: NOTE: csrfToken init >> Mon Apr 24 17:33:51 BST 2017
2017-04-24 17:33:51,987 INFO  [main] com.sap.core.deploy.client.publicrest.impl.BasicClient: csrfToken = [2269A478338C727BEBF04A6BC27D55C4]
2017-04-24 17:33:52,238 ERROR [main] com.sap.core.deploy.client.impl.requests.BasicRequest: Exception occured: {"code":"4820c7e8-2b27-43bb-8263-b20f9028c00f","description":"Application helloworld does not exist. Please create it"}
2017-04-24 17:33:52,241 INFO  [main] com.sap.core.deploy.commons.log.StringFormatLoggerWrapper: UpdateApplication request failed with response code 404 and error message [Application helloworld does not exist. Please create it]. The application s0017140910trial/helloworld may not exist (see NGPBUG-16650). Will re-attempt deployment with CreateApplication request
2017-04-24 17:33:52,459 INFO  [main] com.sap.core.deploy.commons.log.StringFormatLoggerWrapper: Retry request executed successfully
2017-04-24 17:33:52,487 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Upload started
2017-04-24 17:33:52,489 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Upload progressed. Percents: 100
2017-04-24 17:33:52,676 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Upload finished. Details: Uploaded 1.1 KB in 0.1 s Speed: 6 KB/s
2017-04-24 17:33:52,680 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Processing started
2017-04-24 17:33:58,931 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Processing finished. Details: Processing completed in 6.2 s
2017-04-24 17:33:58,935 INFO  [main] com.sap.core.deploy.client.impl.DeployFeedbackHelper: Deploy finished. Success: true
2017-04-24 17:33:58,935 INFO  [main] com.sap.core.deploy.client.impl.DeployerImpl: Deployment operation of application [s0017140910trial/helloworld] finished for [7789] ms
2017-04-24 17:33:58,948 INFO  [main] com.sap.core.deploy.client.cmd.helpers.DeployHelper: Deployment completed successfully
2017-04-24 17:33:58,948 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [deploy] run() finished for [37838] ms
2017-04-24 17:33:58,950 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [deploy] cleanup() finished for [2] ms
2017-04-24 17:33:58,951 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [deploy] finished successfully for [38805] ms
