2017-04-24 17:36:25,652 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Arguments:   samples/deploy_war/example_war.properties
2017-04-24 17:36:26,481 INFO  [main] com.sap.jpaas.infrastructure.console.PropertyFileProvider: Loaded properties file [samples/deploy_war/example_war.properties]
2017-04-24 17:36:26,486 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Starting execution of command [status]
2017-04-24 17:36:26,571 INFO  [pool-2-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: No SDK status file for your configuration was found. A version validity check will be performed.
2017-04-24 17:36:26,573 INFO  [pool-2-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: Currently running SDK version validity check for user SDK version: 1.125.24.2, landscape: hanatrial.ondemand.com and runtime: neo-java-web
2017-04-24 17:36:27,874 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: There is no tools page available on host hanatrial.ondemand.com. The default tools page on host hana.ondemand.com will be used instead.
2017-04-24 17:36:27,876 INFO  [pool-3-thread-1] com.sap.jpaas.infrastructure.console.PropertyFileProvider: Loaded properties file [C:\Users\ANA~1.COS\AppData\Local\Temp\sdkcheck.hana.ondemand.com.neo-java-web.1.125.24.2.tmp]
2017-04-24 17:36:27,879 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [status] init() finished for [1393] ms
2017-04-24 17:36:49,989 INFO  [main] com.sap.core.deploy.client.impl.DeployerImpl: Getting components of appliance [helloworld] on host [https://deployment.hanatrial.ondemand.com].
2017-04-24 17:36:51,055 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [status] run() finished for [23176] ms
2017-04-24 17:36:51,056 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [status] cleanup() finished for [1] ms
2017-04-24 17:36:51,056 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [status] finished successfully for [24570] ms
